open_time,open,high,low,close,volume,trades
2024-09-05 00:00:00+00:00,57944.8,58318.9,55600.0,56145.7,294703.592,3623974
2024-09-06 00:00:00+00:00,56145.7,57000.0,52510.8,53927.7,479063.113,5836491
2024-09-07 00:00:00+00:00,53927.7,54820.2,53725.0,54134.9,127686.594,1789526
2024-09-08 00:00:00+00:00,54134.9,55300.0,53596.5,54839.6,162078.536,2060226
2024-09-09 00:00:00+00:00,54839.6,58153.2,54557.0,57010.0,313094.361,3837831
2024-09-10 00:00:00+00:00,57010.1,58033.2,56361.0,57609.1,228317.676,3066469
2024-09-11 00:00:00+00:00,57609.2,57954.4,55515.2,57306.0,338231.445,4339590
2024-09-12 00:00:00+00:00,57305.6,58606.6,57283.1,58097.0,261449.688,3433611
2024-09-13 00:00:00+00:00,58097.1,60597.0,57594.0,60456.2,277429.492,3289248
2024-09-14 00:00:00+00:00,60456.2,60572.9,59360.1,59964.0,102580.577,1497202
2024-09-15 00:00:00+00:00,59963.9,60369.4,58654.0,59100.5,130524.206,1736437
2024-09-16 00:00:00+00:00,59100.5,59182.2,57446.3,58187.0,250699.432,3119099
2024-09-17 00:00:00+00:00,58187.0,61345.0,57588.8,60281.0,318442.066,3715666
2024-09-18 00:00:00+00:00,60281.0,61765.0,59138.0,61735.3,355729.312,4185877
2024-09-19 00:00:00+00:00,61735.3,63830.1,61534.0,62926.9,302382.412,3599751
2024-09-20 00:00:00+00:00,62926.9,64126.7,62320.0,63175.7,257172.835,3091262
2024-09-21 00:00:00+00:00,63175.8,63546.9,62714.2,63320.6,78248.362,1073883
2024-09-22 00:00:00+00:00,63320.6,64000.0,62339.0,63558.4,149129.884,1916442
2024-09-23 00:00:00+00:00,63558.5,64724.8,62534.4,63302.0,234343.564,3034337
2024-09-24 00:00:00+00:00,63302.1,64666.0,62688.2,64243.1,236987.628,2854709
2024-09-25 00:00:00+00:00,64243.2,64800.0,62910.0,63118.4,184950.772,2269562
2024-09-26 00:00:00+00:00,63118.3,65800.0,62634.4,65139.2,321186.356,3601296
2024-09-27 00:00:00+00:00,65139.1,66450.0,64788.0,65749.6,226404.021,2828264
2024-09-28 00:00:00+00:00,65749.5,66237.0,65368.1,65822.6,92773.553,1280637
2024-09-29 00:00:00+00:00,65822.7,66059.3,65400.0,65568.1,88131.799,1294673
2024-09-30 00:00:00+00:00,65568.2,65588.8,62825.0,63309.1,296848.373,3646635
2024-10-01 00:00:00+00:00,63309.0,64092.6,60128.2,60776.8,429817.835,5090159
2024-10-02 00:00:00+00:00,60776.7,62355.0,59934.9,60622.6,327001.805,4403020
2024-10-03 00:00:00+00:00,60622.7,61452.6,59815.0,60727.2,286137.212,4070646
2024-10-04 00:00:00+00:00,60727.1,62457.1,60434.1,62054.4,234795.836,3191780
2024-10-05 00:00:00+00:00,62054.3,62344.0,61648.0,62023.1,74330.781,1165143
2024-10-06 00:00:00+00:00,62023.1,62961.5,61778.9,62789.3,96413.453,1460205
2024-10-07 00:00:00+00:00,62789.2,64448.2,62091.8,62190.7,298949.375,3730708
2024-10-08 00:00:00+00:00,62190.6,63178.7,61836.0,62131.7,226276.359,3007788
2024-10-09 00:00:00+00:00,62131.8,62520.9,60251.9,60606.4,217302.173,2924602
2024-10-10 00:00:00+00:00,60606.3,61297.0,58900.0,60293.2,262947.653,3293428
2024-10-11 00:00:00+00:00,60293.3,63400.0,60057.8,62509.0,263691.142,2987936
2024-10-12 00:00:00+00:00,62509.0,63462.6,62458.0,63176.0,102784.406,1502904
2024-10-13 00:00:00+00:00,63176.0,63260.0,62020.0,62839.8,129696.156,1736972
2024-10-14 00:00:00+00:00,62839.7,66533.0,62420.0,66064.9,338251.601,4101901
2024-10-15 00:00:00+00:00,66064.9,67953.7,64771.7,67044.1,422005.511,5023772
2024-10-16 00:00:00+00:00,67044.0,68400.0,66724.2,67592.0,254153.501,3762374
2024-10-17 00:00:00+00:00,67592.0,67925.9,66600.0,67401.5,220272.837,3150922
2024-10-18 00:00:00+00:00,67401.5,69000.0,67165.0,68407.8,245301.761,3341893
2024-10-19 00:00:00+00:00,68407.8,68684.9,68000.0,68357.1,68632.108,1101059
2024-10-20 00:00:00+00:00,68357.1,69425.8,68069.8,69020.1,105939.492,1491959
2024-10-21 00:00:00+00:00,69020.2,69566.0,66865.9,67368.8,253437.333,3394803
2024-10-22 00:00:00+00:00,67368.7,67825.0,66536.5,67406.4,218518.977,3051273
2024-10-23 00:00:00+00:00,67406.5,67449.0,65222.3,66647.2,248215.058,3273578
2024-10-24 00:00:00+00:00,66647.3,68842.5,66482.0,68173.8,212340.722,2955244
2024-10-25 00:00:00+00:00,68173.8,68748.0,65557.2,66662.8,348511.871,4106320
2024-10-26 00:00:00+00:00,66662.7,67450.0,66414.1,67071.8,94169.992,1522633
2024-10-27 00:00:00+00:00,67071.9,68306.1,66909.4,67992.6,88468.808,1363490
2024-10-28 00:00:00+00:00,67992.7,70331.0,67584.2,69940.0,256128.622,3334954
2024-10-29 00:00:00+00:00,69939.9,73660.0,69733.0,72739.5,382502.06,4796294
2024-10-30 00:00:00+00:00,72739.5,72984.9,71444.2,72349.0,227108.808,3249471
2024-10-31 00:00:00+00:00,72349.0,72720.3,69705.0,70321.9,256485.328,3578458
2024-11-01 00:00:00+00:00,70321.9,71650.0,68822.5,69495.5,352591.088,4618190
2024-11-02 00:00:00+00:00,69495.4,69913.1,69022.8,69366.6,79314.105,1401664
2024-11-03 00:00:00+00:00,69366.6,69393.7,67446.6,68762.5,226477.376,3241078
2024-11-04 00:00:00+00:00,68762.5,69495.3,66810.0,67834.3,244912.166,3684843
2024-11-05 00:00:00+00:00,67834.4,70537.4,67454.2,69353.1,273070.87,3919866
2024-11-06 00:00:00+00:00,69353.1,76420.0,69272.7,75579.9,677440.286,9334179
2024-11-07 00:00:00+00:00,75579.9,76900.0,74450.0,75859.4,280675.033,4431074
2024-11-08 00:00:00+00:00,75859.4,77182.9,75576.3,76482.2,230370.324,3534735
2024-11-09 00:00:00+00:00,76482.2,76920.0,75683.2,76675.1,117754.034,1816643
2024-11-10 00:00:00+00:00,76675.1,81699.8,76501.1,80410.0,417426.899,5763782
2024-11-11 00:00:00+00:00,80409.9,89800.0,80261.2,88728.9,614141.662,8091453
2024-11-12 00:00:00+00:00,88729.0,90070.1,85159.9,87972.0,639481.584,9027355
2024-11-13 00:00:00+00:00,87972.0,93421.1,86180.0,90413.3,555288.297,8571385
2024-11-14 00:00:00+00:00,90413.3,91846.1,86714.0,87382.7,364621.68,6465556
2024-11-15 00:00:00+00:00,87382.6,91921.5,87111.0,91074.6,314431.908,5422261
2024-11-16 00:00:00+00:00,91074.6,91849.8,90120.0,90643.3,129023.447,2572935
2024-11-17 00:00:00+00:00,90643.2,91539.6,88736.1,89899.9,167504.792,3269289
2024-11-18 00:00:00+00:00,89900.0,92700.0,89422.1,90507.4,333557.11,5685709
2024-11-19 00:00:00+00:00,90507.4,93985.9,90405.6,92335.9,303532.031,5066640
2024-11-20 00:00:00+00:00,92335.9,94849.0,91500.0,94288.0,290044.227,4993020
2024-11-21 00:00:00+00:00,94288.0,99100.0,94008.7,98366.8,418383.136,6905515
2024-11-22 00:00:00+00:00,98366.8,99660.0,97199.9,98921.4,265774.067,4555503
2024-11-23 00:00:00+00:00,98921.5,98937.3,97173.5,97725.5,120358.422,2258791
2024-11-24 00:00:00+00:00,97725.6,98666.0,95822.1,97960.4,173118.84,3273568
2024-11-25 00:00:00+00:00,97960.5,98999.0,92666.0,93064.0,329375.021,5330405
2024-11-26 00:00:00+00:00,93064.0,95064.0,90866.4,92021.4,344929.233,6021621
2024-11-27 00:00:00+00:00,92021.5,97250.0,91864.0,95905.2,237005.987,4071168
2024-11-28 00:00:00+00:00,95905.2,96627.6,94700.1,95694.4,154007.026,2817181
2024-11-29 00:00:00+00:00,95694.4,98713.3,95404.5,97516.3,190520.949,3084809
2024-11-30 00:00:00+00:00,97516.2,97522.1,96150.0,96475.1,93074.218,1665673
2024-12-01 00:00:00+00:00,96475.2,97933.0,95736.5,97265.1,113222.99,1872343
2024-12-02 00:00:00+00:00,97265.0,98266.0,94400.0,95890.5,257613.911,4234044
2024-12-03 00:00:00+00:00,95890.6,96375.0,93605.0,95913.3,206601.98,3444469
